,"PANDR-5™ Model  v1.1.1
(PPLUL, Abating, Non-competing, Double Progression, RIR, 5-day)",,,,,,Sets Per Muscle Group Per Week,,,,,
,"The PANDR-5™ model is a structured five-day Push, Pull, Legs, Upper, Lower plan that hits each muscle twice per week. Every lift uses a relatively wide rep range (e.g., 6–10) with a planned RIR staircase between 3 - <0 RIR. You keep one load across sets and add reps over time. When the final set reaches the top of the range at 0–1 RIR, increase the load 2–5% next session and restart at the low end. If that last set overshoots the cap at the target RIR, treat it the same (add weight next time). If the last set falls below the floor at 0–1 RIR, reduce the load slightly (about 2–3%) next session; if it’s within the range but easier than 1 RIR, keep the load and chase reps until the anchor set lands at ≤1 RIR. *When a movement includes a beyond-failure finisher (<0 RIR), use the preceding set as your progression anchor. If that set reaches the top of the rep range at its assigned RIR, increase the load by 2–5% next session. The extra work past failure doesn’t change the load bump.

You use the same weight for all sets, adding reps over time until your final set can hit the top of the range without exceeding your target RIR. When that happens, you increase the weight slightly and restart at the low end of the range. For heavy barbell compounds, 0 RIR is treated as technical failure (last clean rep), while supported machines and isolations can safely be taken to true failure and occasionally beyond (<0). Beyond failure sets are strategically placed only (for the most part) on the last set of the last exercise of a given muscle group.

The split uses non-competing pairs (NCP) to maximize performance. For chest days, I pair chest with biceps. In pressing movements, the triceps work as prime synergists with the pecs, so training triceps would compete with pressing. By contrast, the biceps contribute little to pressing (they act as elbow antagonists and primarily as shoulder stabilizers) so overlap is minimal. That lets me press heavy without arm pre-fatigue, then train biceps hard without compromising performance.

The weekly set targets for each muscle group are calculated roughly (!) using the concept of fractional set allocation (also called effective sets or set-equivalent estimation in some research literature). This method accounts for the fact that multi-joint lifts stimulate multiple muscles to varying degrees. For example, a bench press provides full set credit to the chest, partial set credit to the triceps, and minimal direct stimulus to the biceps. By assigning ≤1.0 of a set to each muscle based on its role in the movement, the program ensures each muscle hits an optimal weekly volume without unnecessary overlap or fatigue spillover. Note* Given the limited research, this concept is applied conservatively. The set-equivalent multipliers represent approximate averages for managing weekly volume, not exact prescriptions for each muscle’s involvement in a specific movement.

This method (somewhat expirimentally) balances effort and recovery, gives a clear and consistent trigger for progression, and naturally adjusts to your current strength level while keeping training enjoyable and sustainable.",,,,,,,"Note: The total set count shown here does not mean you’ll be performing all those sets back-to-back for each muscle group. Many of these sets are counted across overlapping, synergistic muscles. In practice, you only need to follow the set numbers listed in your written plan as those already account for all the indirect work. What this table aims to demonstrate is how close a given muscle group is to the optimal (yet very wide) range of 10-20ish (maybe a few more) sets per week.",,,,
,,,,,,,,Primary Mover ≈ 1 Set | Secondary Synergist ≈ 1/2 Set | Tertiary/Minor Synergist ≈ 1/4 Set,,,,
,Day,Exercise,Sets,Rep Range,RIR (≈n),,,Muscle Group,Direct Sets,Fractional Sets (≈),Total Sets,Total Sets (Whole Group)
,(1) Push + NCP,Bench Press,4,5 - 8,"3, 2, 1, 0-1",,Chest,Chest (pec major),20,0,20,20
,,Incline Dumbbell Press,3,8 - 11,"2, 1, 0-1",,Shoulders,Anterior Delts,0,7,7,21
,,Machine Chest Flyes,3,12 - 15,"1, 0, <0⚠️",,,Lateral Delts,9,0,9,
,,"Close-Grip Chinups (Assisted, BW, or Weighted)",2,5 - 7,"2, 0-1",,,Rear Delts,0,5,5,
,,Preacher Curls (Machine),3,8 - 12,"2, 1, 0-1",,Arms,Triceps,15,3.5,18.5,43.25
,,Hammer Curls,3,8 - 12,"2, 0-1, <0⚠️",,,Biceps (Brachii),7,8,15,
