id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
source-5,Bench Press,Flat barbell bench press | Flat bench | BB bench press,Barbell,Horizontal press,bilateral,external,Flat barbell bench press; moderate elbow flare.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Preserved source calibration. Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,pandr-sheet | anatomy-upper | press,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-6,Incline Dumbbell Press,Incline DB press,Dumbbell,Incline press,bilateral,external,"Low-incline dumbbell bench press, roughly 15–30 degrees.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,"Preserved source calibration. Low-incline pressing retains chest as the target with shoulder-flexor and elbow-extensor assistance. Bench angle distinguishes loading, not a new muscle group. See legacy-review.md for conflicts between this rationale and retained credits.",medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,pandr-sheet | anatomy-upper | incline,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-7,Machine Chest Flyes,Pec deck | Machine chest fly,Machine,Shoulder horizontal adduction,bilateral,external,Seated supported fly machine; arms follow horizontal adduction.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Preserved source calibration. Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Chest (pec major)=medium,pandr-sheet | anatomy-upper,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-8,"Close-Grip Chinups (Assisted, BW, or Weighted)",Close-grip chin-up | Chinup | Weighted chin-up | Assisted chin-up,Bodyweight,Vertical pull,bilateral,bodyweight/weighted/assisted,"Close supinated grip; bodyweight, external load or counterweight assistance retain same movement ID.",Lats / teres major,Rear Delts | Biceps (Brachii) | Lats / teres major | Mid / Low Traps & Rhomboids,Rear Delts=0.25 | Biceps (Brachii)=0.5 | Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.25,Preserved source calibration. Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium,pandr-sheet | anatomy-upper | pull,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-9,Preacher Curls (Machine),Machine preacher curl,Machine,Supinated elbow flexion,bilateral,external,"Upper arms supported on machine preacher pad, supinated handles.",Biceps (Brachii),Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=1 | Brachialis=0.5 | Brachioradial.=0.25,"Preserved source calibration. Supinated elbow flexion directly targets biceps; brachialis remains an elbow flexor and brachioradialis earns minor supporting credit, calibrated to source curls. See legacy-review.md for conflicts between this rationale and retained credits.",medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,pandr-sheet | anatomy-upper | elbow,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-10,Hammer Curls,Dumbbell hammer curl | DB hammer curl,Dumbbell,Neutral-grip elbow flexion,bilateral,external,"Dumbbells, neutral palms, upper arms near sides.",Brachialis,Biceps (Brachii) | Brachialis | Brachioradial.,Biceps (Brachii)=0.5 | Brachialis=1 | Brachioradial.=0.5,Preserved source calibration. Neutral forearm position preserves all three elbow flexors; the source hammer-curl convention designates brachialis primary. Exact partition is not experimentally established. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Biceps (Brachii)=medium | Brachialis=medium | Brachioradial.=medium,pandr-sheet | anatomy-upper | elbow,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-11,Lateral Raise,Standing dumbbell lateral raise | Dumbbell side raise | DB lateral raise,Dumbbell,Shoulder abduction,bilateral,external,"Standing dumbbells, raise arms to shoulder height without torso swing.",Lateral Delts,Lateral Delts,Lateral Delts=1,Preserved source calibration. Loaded humeral abduction directly trains lateral deltoid; scapular rotation and grip are not automatically counted. See legacy-review.md for conflicts between this rationale and retained credits.,high,Lateral Delts=high,pandr-sheet | anatomy-upper | lateral,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-13,Single-Arm Bent-Over Dumbbell Row,One-arm dumbbell row | DB bench row,Dumbbell,Horizontal pull — tucked elbows,unilateral,external,"One hand braced, hip hinge, elbow toward hip.",Lats / teres major,Rear Delts | Biceps (Brachii) | Lats / teres major | Mid / Low Traps & Rhomboids,Rear Delts=0.5 | Biceps (Brachii)=0.5 | Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.5,"Preserved source calibration. Tucked-elbow shoulder extension emphasizes lats; scapular retraction, elbow flexion and posterior shoulder assistance earn bounded supporting credits. See legacy-review.md for conflicts between this rationale and retained credits.",medium,Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium,pandr-sheet | anatomy-upper | pull,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume.
source-14,Lat Pulldown (Standard Bar),Overhand lat pulldown | Wide-grip lat pulldown,Cable,Vertical pull,bilateral,external,"Pronated standard bar, pull in front to upper chest.",Lats / teres major,Rear Delts | Biceps (Brachii) | Lats / teres major | Mid / Low Traps & Rhomboids,Rear Delts=0.25 | Biceps (Brachii)=0.5 | Lats / teres major=1 | Mid / Low Traps & Rhomboids=0.25,Preserved source calibration. Shoulder adduction/extension loads lats; elbow flexors contribute substantially and scapular movement supports modest grouped-back credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Rear Delts=medium | Biceps (Brachii)=medium | Lats / teres major=medium | Mid / Low Traps & Rhomboids=medium,pandr-sheet | anatomy-upper | pull,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-15,Lat Pullovers (Cable; any attachment),Straight-arm cable pulldown | Cable lat pullover,Cable,Shoulder extension — nearly fixed elbow,bilateral,external,"High cable, nearly fixed soft elbows, pull arms to sides.",Lats / teres major,Lats / teres major,Lats / teres major=1,Preserved source calibration. Loaded shoulder extension targets lats/teres major while elbow angle stays nearly fixed; no automatic elbow-flexor or triceps credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Lats / teres major=medium,pandr-sheet | anatomy-upper,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
source-16,Ez-Bar Tricep Overhead Extension,EZ-bar overhead triceps extension | EZ-bar French press,Barbell,Elbow extension,bilateral,external,"EZ-bar overhead, upper arms elevated while elbows bend.",Triceps,Triceps,Triceps=1,Preserved source calibration. Loaded elbow extension directly trains triceps; shoulder position changes head-specific loading but does not justify extra whole-muscle set credit. See legacy-review.md for conflicts between this rationale and retained credits.,medium,Triceps=medium,pandr-sheet | anatomy-upper | triceps,Original numerical values and ambiguous names are retained for saved-plan compatibility; this is not an independent endorsement of every allocation.
