PANDR-5™ — Research Sources,,,,,,
Inline [n] links in the Guide Sheet and Blank Fillout open the peer-reviewed source. Evidence labels show how directly each paper supports the nearby wording; model-specific rules and extrapolations are identified plainly.,,,,,,
,,,,,,
Ref,Claim / topic,Evidence strength,Full citation,PMID,Source link,What it supports / limitations
[1],Twice-weekly muscle frequency,Direct systematic review + meta-analysis,"Schoenfeld BJ, Ogborn D, Krieger JW. Effects of Resistance Training Frequency on Measures of Muscle Hypertrophy: A Systematic Review and Meta-Analysis. Sports Med. 2016;46(11):1689–1697. doi:10.1007/s40279-016-0543-8.",27102172,https://pubmed.ncbi.nlm.nih.gov/27102172/,"Supports training a muscle twice rather than once weekly in the reviewed volume-equated comparisons. Later evidence indicates frequency matters much less when weekly volume is equated, so this supports 2× as a sound distribution—not a uniquely optimal rule."
[2],"Frequency, load, sets, and weekly-volume context",Direct systematic review + Bayesian network meta-analysis,"Currier BS, Mcleod JC, Banfield L, et al. Resistance training prescription for muscle strength and hypertrophy in healthy adults: a systematic review and Bayesian network meta-analysis. Br J Sports Med. 2023;57(18):1211–1220. doi:10.1136/bjsports-2023-106807.",37414459,https://pubmed.ncbi.nlm.nih.gov/37414459/,"Across 178 strength and 119 hypertrophy studies, all resistance-training prescriptions improved outcomes; multiset twice-weekly training was highest-ranked for hypertrophy. Rankings do not prove one exact split is required."
[3],Broad rep/load ranges,Direct systematic review + network meta-analysis,"Lopez P, Radaelli R, Taaffe DR, et al. Resistance Training Load Effects on Muscle Hypertrophy and Strength Gain: Systematic Review and Network Meta-analysis. Med Sci Sports Exerc. 2021;53(6):1206–1216. doi:10.1249/MSS.0000000000002585.",33433148,https://pubmed.ncbi.nlm.nih.gov/33433148/,"Supports comparable hypertrophy across low, moderate, and high loads when sets are taken to volitional failure; heavier loads better maximize strength. A 6–10 range is compatible with this literature, but the exact range is a programming choice."
[4],RIR / proximity-to-failure dose response,Exploratory meta-regression,"Robinson ZP, Pelland JC, Remmert JF, et al. Exploring the Dose-Response Relationship Between Estimated Resistance Training Proximity to Failure, Strength Gain, and Muscle Hypertrophy: A Series of Meta-Regressions. Sports Med. 2024;54(9):2209–2231. doi:10.1007/s40279-024-02069-2.",38970765,https://pubmed.ncbi.nlm.nih.gov/38970765/,"Closer-to-failure training was associated with greater hypertrophy, while strength gains were similar across a wider RIR range. The authors call the analysis exploratory; it supports an RIR spectrum, not the exact 3-to-<0 staircase."
[5],Adding reps before adding load,Direct randomized controlled trial,"Plotkin D, Coleman M, Van Every D, et al. Progressive overload without progressing load? The effects of load or repetition progression on muscular adaptations. PeerJ. 2022;10:e14142. doi:10.7717/peerj.14142.",36199287,https://pubmed.ncbi.nlm.nih.gov/36199287/,"In resistance-trained adults, progressing repetitions and progressing load produced broadly similar adaptations over eight weeks. This directly supports rep progression as viable; it does not validate a final-set-only anchor."
[6],Small load increases after exceeding a rep target,Peer-reviewed position stand,American College of Sports Medicine. Progression Models in Resistance Training for Healthy Adults. Med Sci Sports Exerc. 2009;41(3):687–708. doi:10.1249/MSS.0b013e3181915670.,19204579,https://pubmed.ncbi.nlm.nih.gov/19204579/,Recommends increasing load about 2–10% when the trainee can perform 1–2 repetitions over the target. PANDR-5’s 2–5% increase fits inside this published range; the exact 2–3% reduction rule is a practical extrapolation.
[7],Using RIR to prescribe and adjust load,Direct reliability study,"Lovegrove S, Hughes LJ, Mansfield SK, Read PJ, Price P, Patterson SD. Repetitions in Reserve Is a Reliable Tool for Prescribing Resistance Training Load. J Strength Cond Res. 2022;36(10):2696–2700. doi:10.1519/JSC.0000000000003952.",36135029,https://pubmed.ncbi.nlm.nih.gov/36135029/,Supports RIR as a reasonably reliable tool for prescribing bench-press and deadlift loads. Reliability does not make every session-to-session adjustment threshold exact.
[8],RIR-based autoregulation and individual adjustment,Systematic review + meta-analysis,"Hickmott LM, Chilibeck PD, Shaw KA, Butcher SJ. The Effect of Load and Volume Autoregulation on Muscular Strength and Hypertrophy: A Systematic Review and Meta-Analysis. Sports Med Open. 2022;8(1):9. doi:10.1186/s40798-021-00404-9.",35038063,https://pubmed.ncbi.nlm.nih.gov/35038063/,Autoregulated and standardized load prescription produced similar strength gains overall. Supports adjusting training to present performance; the PANDR-5 decision rules remain a model-specific implementation.
[9],Why failure / beyond-failure work is limited,Direct systematic review + meta-analysis of acute fatigue,"Vieira JG, Sardeli AV, Dias MR, et al. Effects of Resistance Training to Muscle Failure on Acute Fatigue: A Systematic Review and Meta-Analysis. Sports Med. 2022;52(5):1103–1125. doi:10.1007/s40279-021-01602-x.",34881412,https://pubmed.ncbi.nlm.nih.gov/34881412/,"Failure training produces greater acute fatigue, muscle damage, perceived exertion, and recovery demands. Supports reserving the hardest sets. It does not directly prove that machine or isolation failure is safer than free-weight failure."
[10],Failure versus non-failure adaptations,Direct systematic review + meta-analysis,"Grgic J, Schoenfeld BJ, Orazem J, Sabol F. Effects of resistance training performed to repetition failure or non-failure on muscular strength and hypertrophy: A systematic review and meta-analysis. J Sport Health Sci. 2022;11(2):202–211. doi:10.1016/j.jshs.2021.01.007.",33497853,https://pubmed.ncbi.nlm.nih.gov/33497853/,"Failure was not generally required for strength or hypertrophy. Supports using non-failure work for most sets and treating failure selectively; the technical-failure distinction is a coaching/safety convention, not a directly tested outcome."
